_bill,_district,_joined_at,_name,_state,_title,_type
s54,0,2017-05-02,"Franken, Al",MN,Sen,cosponsor
s54,0,2017-01-05,"Hirono, Mazie K.",HI,Sen,original cosponsor
s54,0,2017-01-05,"Leahy, Patrick J.",VT,Sen,original cosponsor
s54,0,2017-01-05,"Markey, Edward J.",MA,Sen,original cosponsor
s54,0,2017-01-05,"Merkley, Jeff",OR,Sen,original cosponsor
s54,0,2017-01-05,"Murray, Patty",WA,Sen,original cosponsor
s54,0,2017-01-05,"Sanders, Bernard",VT,Sen,original cosponsor
s54,0,2017-01-05,"Schatz, Brian",HI,Sen,original cosponsor
s54,0,2017-01-05,"Warren, Elizabeth",MA,Sen,original cosponsor
s54,0,2017-01-05,"Wyden, Ron",OR,Sen,original cosponsor
s55,0,2017-01-05,"Gillibrand, Kirsten E.",NY,Sen,sponsor
s55,0,2017-02-01,"Schumer, Charles E.",NY,Sen,cosponsor
s56,0,2017-01-05,"Sullivan, Dan",AK,Sen,sponsor
s56,0,2017-02-02,"Barrasso, John",WY,Sen,cosponsor
s56,0,2017-02-02,"Blunt, Roy",MO,Sen,cosponsor
s56,0,2017-02-02,"Boozman, John",AR,Sen,cosponsor
s56,0,2017-02-02,"Burr, Richard",NC,Sen,cosponsor
s56,0,2017-02-02,"Cornyn, John",TX,Sen,cosponsor
s56,0,2017-02-02,"Daines, Steve",MT,Sen,cosponsor
s56,0,2017-01-24,"Ernst, Joni",IA,Sen,cosponsor
s56,0,2017-02-02,"Hatch, Orrin G.",UT,Sen,cosponsor
s56,0,2017-02-02,"Inhofe, James M.",OK,Sen,cosponsor
s56,0,2017-02-02,"Isakson, Johnny",GA,Sen,cosponsor
s56,0,2017-02-02,"Johnson, Ron",WI,Sen,cosponsor
s56,0,2017-02-02,"Kennedy, John",LA,Sen,cosponsor
s56,0,2017-02-02,"McConnell, Mitch",KY,Sen,cosponsor
s56,0,2017-02-02,"Paul, Rand",KY,Sen,cosponsor
s56,0,2017-02-02,"Perdue, David",GA,Sen,cosponsor
s56,0,2017-02-02,"Rounds, Mike",SD,Sen,cosponsor
s56,0,2017-02-02,"Young, Todd C.",IN,Sen,cosponsor
s57,0,2017-01-05,"Cassidy, Bill",LA,Sen,sponsor
s57,0,2017-01-05,"Crapo, Mike",ID,Sen,original cosponsor
s57,0,2017-01-05,"Daines, Steve",MT,Sen,original cosponsor
s57,0,2017-01-09,"Enzi, Michael B.",WY,Sen,cosponsor
s57,0,2017-01-05,"Flake, Jeff",AZ,Sen,original cosponsor
s57,0,2017-01-05,"Grassley, Chuck",IA,Sen,original cosponsor
s57,0,2017-01-05,"Johnson, Ron",WI,Sen,original cosponsor
s57,0,2017-04-06,"Lankford, James",OK,Sen,cosponsor
s57,0,2017-01-23,"Thune, John",SD,Sen,cosponsor
s58,0,2017-01-09,"Heller, Dean",NV,Sen,sponsor
s58,0,2018-07-10,"Baldwin, Tammy",WI,Sen,cosponsor
s58,0,2018-02-27,"Blumenthal, Richard",CT,Sen,cosponsor
