_id,_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
M001188,"Meng, Grace",NY,6,Rep,NY6,Meng,repgracemeng,Grace Meng,Democrat,RepGraceMeng,22103
M001160,"Moore, Gwen",WI,4,Rep,WI4,Moore,GwenSMoore,Gwen Moore,Democrat,RepGwenMoore,30860
M001196,"Moulton, Seth",MA,6,Rep,MA6,Moulton,CongressmanSethMoulton,Seth Moulton,Democrat,teammoulton,7193
M001151,"Murphy, Tim",PA,18,Rep,PA18,Murphy,reptimmurphy,Tim Murphy,Republican,RepTimMurphy,-1
N000002,"Nadler, Jerrold",NY,10,Rep,NY10,Nadler,CongressmanNadler,Jerrold Nadler,Democrat,RepJerryNadler,51664
N000127,"Nolan, Richard M.",MN,8,Rep,MN8,Nolan,UsRepRickNolan,Richard M. Nolan,Democrat,USRepRickNolan,11827
N000147,"Norton, Eleanor Holmes",DC,0,Rep,DC0,Norton,CongresswomanNorton,Eleanor Holmes Norton,Democrat,EleanorNorton,29195
O000170,"O'Rourke, Beto",TX,16,Rep,TX16,O'Rourke,betoorourketx16,Beto O’Rourke,Democrat,RepBetoORourke,112888
O000168,"Olson, Pete",TX,22,Rep,TX22,Olson,Rep.PeteOlson,Pete Olson,Republican,RepPeteOlson,8826
P000594,"Paulsen, Erik",MN,3,Rep,MN3,Paulsen,CongressmanErikPaulsen,Erik Paulsen,Republican,RepErikPaulsen,19720
P000604,"Payne, Donald M., Jr.",NJ,10,Rep,NJ10,Payne,DonaldPayneJr,"Donald M. Payne, Jr.",Democrat,RepDonaldPayne,12204
P000605,"Perry, Scott",PA,4,Rep,PA4,Perry,repscottperry,Scott Perry,Republican,RepScottPerry,13747
P000608,"Peters, Scott H.",CA,52,Rep,CA52,Peters,RepScottPeters,Scott H. Peters,Democrat,RepScottPeters,22004
P000596,"Pierluisi, Pedro R.",PR,0,Rep,PR0,Pierluisi,pedropierluisi,Pedro R. Pierluisi,Democrat,PedroPierluisi,47884
P000606,"Pittenger, Robert",NC,9,Rep,NC9,Pittenger,congressmanpittenger,Robert Pittenger,Republican,RepPittenger,13356
P000607,"Pocan, Mark",WI,2,Rep,WI2,Pocan,repmarkpocan,Mark Pocan,Democrat,RepMarkPocan,75419
P000598,"Polis, Jared",CO,2,Rep,CO2,Polis,jaredpolis,Jared Polis,Democrat,RepJaredPolis,14265
P000602,"Pompeo, Mike",KS,4,Rep,KS4,Pompeo,CongressmanPompeo,Mike Pompeo,Republican,RepMikePompeo,-1
Q000023,"Quigley, Mike",IL,5,Rep,IL5,Quigley,repmikequigley,Mike Quigley,Democrat,RepMikeQuigley,37520
R000053,"Rangel, Charles B.",NY,13,Rep,NY13,Rangel,CBRangel,Charles B. Rangel,Democrat,CBRangel,29386
