,district,name,state
407,3,"Johnson, Sam",TX
408,1,"Kelly, Trent",MS
409,1,"Labrador, Raul R.",ID
410,11,"Loudermilk, Barry",GA
411,4,"Love, Mia B.",UT
412,3,"Lucas, Frank D.",OK
413,0,"Noem, Kristi L.",SD
414,6,"Palmer, Gary J.",AL
415,6,"Price, Tom",GA
416,48,"Rohrabacher, Dana",CA
417,12,"Rothfus, Keith J.",PA
418,5,"Russell, Steve",OK
419,1,"Sanford, Mark",SC
420,6,"Schweikert, David",AZ
421,3,"Stutzman, Marlin A.",IN
422,3,"Tipton, Scott  R.",CO
423,6,"Walker, Mark",NC
424,14,"Weber, Randy K., Sr.",TX
425,2,"Wilson, Joe",SC
426,0,"Young, Don",AK
427,9,"Young, Todd C.",IN
428,12,"Granger, Kay",TX
429,5,"Hensarling, Jeb",TX
430,17,"Rooney, Thomas J.",FL
431,13,"Thornberry, Mac",TX
432,7,"Peterson, Collin C.",MN
433,5,"Rogers, Harold",KY
434,2,"Poliquin, Bruce",ME
435,8,"Reichert, David G.",WA
436,4,"Aderholt, Robert B.",AL
437,6,"Graves, Garret",LA
438,2,"King, Peter T.",NY
439,22,"Nunes, Devin",CA
440,0,"Radewagen, Aumua Amata Coleman",AS
