_bill,_district,_id,_joined_at,_name,_state,_title,_type
hr6,40,R000486,2015-06-25,"Roybal-Allard, Lucille",CA,Rep,cosponsor
hr6,39,R000487,2015-06-23,"Royce, Edward R.",CA,Rep,cosponsor
hr6,2,R000576,2015-06-15,"Ruppersberger, C. A. Dutch",MD,Rep,cosponsor
hr6,1,R000515,2015-05-22,"Rush, Bobby L.",IL,Rep,cosponsor
hr6,13,R000577,2015-06-25,"Ryan, Tim",OH,Rep,cosponsor
hr6,5,S000018,2015-06-11,"Salmon, Matt",AZ,Rep,cosponsor
hr6,3,S001168,2015-06-02,"Sarbanes, John P.",MD,Rep,cosponsor
hr6,1,S001176,2015-06-02,"Scalise, Steve",LA,Rep,cosponsor
hr6,9,S001145,2015-05-22,"Schakowsky, Janice D.",IL,Rep,cosponsor
hr6,5,S001180,2015-05-22,"Schrader, Kurt",OR,Rep,cosponsor
hr6,13,S001157,2015-05-22,"Scott, David",GA,Rep,cosponsor
hr6,15,S000364,2015-05-22,"Shimkus, John",IL,Rep,cosponsor
hr6,2,S001148,2015-06-23,"Simpson, Michael K.",ID,Rep,cosponsor
hr6,9,S001191,2015-06-18,"Sinema, Kyrsten",AZ,Rep,cosponsor
hr6,8,S001165,2015-06-11,"Sires, Albio",NJ,Rep,cosponsor
hr6,14,S001175,2015-06-24,"Speier, Jackie",CA,Rep,cosponsor
hr6,21,S001196,2015-06-23,"Stefanik, Elise M.",NY,Rep,cosponsor
hr6,15,S001187,2015-06-24,"Stivers, Steve",OH,Rep,cosponsor
hr6,1,T000473,2015-06-03,"Takai, Mark",HI,Rep,cosponsor
hr6,41,T000472,2015-06-15,"Takano, Mark",CA,Rep,cosponsor
hr6,12,T000462,2015-06-23,"Tiberi, Patrick J.",OH,Rep,cosponsor
hr6,20,T000469,2015-05-22,"Tonko, Paul",NY,Rep,cosponsor
hr6,35,T000474,2015-06-15,"Torres, Norma J.",CA,Rep,cosponsor
hr6,11,T000475,2015-06-18,"Trott, David A.",MI,Rep,cosponsor
hr6,10,T000463,2015-06-11,"Turner, Michael R.",OH,Rep,cosponsor
hr6,21,V000129,2015-06-17,"Valadao, David G.",CA,Rep,cosponsor
hr6,8,V000128,2015-06-23,"Van Hollen, Chris",MD,Rep,cosponsor
hr6,51,V000130,2015-06-15,"Vargas, Juan",CA,Rep,cosponsor
hr6,33,V000131,2015-05-22,"Veasey, Marc A.",TX,Rep,cosponsor
hr6,7,V000081,2015-06-16,"Velazquez, Nydia M.",NY,Rep,cosponsor
hr6,2,W000812,2015-06-01,"Wagner, Ann",MO,Rep,cosponsor
hr6,7,W000798,2015-06-11,"Walberg, Tim",MI,Rep,cosponsor
hr6,2,W000791,2015-05-22,"Walden, Greg",OR,Rep,cosponsor
hr6,2,W000813,2015-06-09,"Walorski, Jackie",IN,Rep,cosponsor
hr6,45,W000820,2015-06-02,"Walters, Mimi",CA,Rep,cosponsor
hr6,1,W000799,2015-06-01,"Walz, Timothy J.",MN,Rep,cosponsor
hr6,23,W000797,2015-06-18,"Wasserman Schultz, Debbie",FL,Rep,cosponsor
hr6,43,W000187,2015-06-25,"Waters, Maxine",CA,Rep,cosponsor
hr6,10,W000806,2015-06-18,"Webster, Daniel",FL,Rep,cosponsor
hr6,0,W000800,2015-05-22,"Welch, Peter",VT,Rep,cosponsor
hr6,2,W000815,2015-06-18,"Wenstrup, Brad R.",OH,Rep,cosponsor
hr6,1,W000413,2015-05-22,"Whitfield, Ed",KY,Rep,cosponsor
hr6,24,W000808,2015-06-25,"Wilson, Frederica S.",FL,Rep,cosponsor
hr6,3,W000809,2015-06-23,"Womack, Steve",AR,Rep,cosponsor
hr6,3,Y000062,2015-05-22,"Yarmuth, John A.",KY,Rep,cosponsor
hr6,3,Y000063,2015-06-09,"Yoder, Kevin",KS,Rep,cosponsor
hr6,3,Y000066,2015-06-17,"Young, David",IA,Rep,cosponsor
hr6,1,Z000017,2015-06-16,"Zeldin, Lee M.",NY,Rep,cosponsor
hr6,0,Z000018,2015-06-23,"Zinke, Ryan K.",MT,Rep,cosponsor
hr7,4,S000522,2015-01-21,"Smith, Christopher H.",NJ,Rep,sponsor
hr7,5,A000374,2015-01-22,"Abraham, Ralph Lee",LA,Rep,cosponsor
hr7,6,B001273,2015-01-21,"Black, Diane",TN,Rep,original cosponsor
hr7,7,B001243,2015-01-21,"Blackburn, Marsha",TN,Rep,original cosponsor
hr7,8,B000589,2015-01-21,"Boehner, John A.",OH,Rep,original cosponsor
hr7,7,C001048,2015-01-22,"Culberson, John Abney",TX,Rep,cosponsor
hr7,13,D000619,2015-01-22,"Davis, Rodney",IL,Rep,cosponsor
hr7,2,D000533,2015-01-22,"Duncan, John J., Jr.",TN,Rep,cosponsor
hr7,2,E000291,2015-01-21,"Ellmers, Renee L.",NC,Rep,original cosponsor
hr7,5,F000450,2015-01-21,"Foxx, Virginia",NC,Rep,original cosponsor
hr7,6,G000546,2015-01-22,"Graves, Sam",MO,Rep,cosponsor
hr7,4,H001053,2015-01-21,"Hartzler, Vicky",MO,Rep,original cosponsor
hr7,2,J000290,2015-01-21,"Jenkins, Lynn",KS,Rep,original cosponsor
hr7,3,L000563,2015-01-21,"Lipinski, Daniel",IL,Rep,original cosponsor
hr7,0,L000571,2015-01-21,"Lummis, Cynthia M.",WY,Rep,original cosponsor
hr7,4,M001184,2015-01-22,"Massie, Thomas",KY,Rep,cosponsor
